department_id;municipality_id;name
Quetzaltenango;Cantel;MIGUEL TIXAL
Quetzaltenango;La Esperanza;MIGUEL OROXON
Quetzaltenango;Ostuncalco;LIC. ROMEO
Quetzaltenango;Quetzaltenango;RONY CASTILLO
Quetzaltenango;San Mateo;HECTOR IXCOT
Quiché;Chajul;PABLO SANCHEZ
Quiché;Chichicastenango;LUIS TOJ RIVERA
Quiché;San Luis Ixcán;GERMAN QUIB CAAL
Quiché;Nebaj;DANIEL VELASCO
Quiché;San Juan Cotzal;TOMAS DE LA CRUZ
Quiché;San Pedro Jocopilas;JUAN BATEN
Quiché;Uspantán;ROGELIO NATARENO
Quiché;Zacualpa;MIGUEL TIQUIRAN OLMOS
Retalhuleu;Champerico;SAMUEL BENITES
Retalhuleu;El Asintal;WALTER SANCHEZ HERNANDEZ
Retalhuleu;Retalhuleu;ANIBAL CALDERON
Retalhuleu;San Andrés Villa Seca;MELVIN ARODY BARRIOS MORALES
Retalhuleu;San Sebastián;JUSTO CHOJOLAN IQUIC
Sacatepéquez;Alotenango;LUIS CIVIL
Sacatepéquez;Antigua Guatemala;MANUEL ESTRADA
Sacatepéquez;Ciudad Vieja;MARCO TULIO VASQUEZ
Sacatepéquez;Jocotenango;EBER GUDIEL
Sacatepéquez;Magdalena Milpas Altas;AMILCAR ESCOBAR MARROQUIN
Sacatepéquez;Pastores;CESAR VALLE
Sacatepéquez;San Antonio Aguas Calientes;SERGIO ENRIQUE PEREZ
Sacatepéquez;San Bartolomé Milpas Altas;ROSALIO ASPUAC
Sacatepéquez;San Lucas Sacatepéquez;HUGO ZAMORA
Sacatepéquez;San Miguel Dueñas;OTILIO BARRIENTOS
Sacatepéquez;Santa Catarina Barahona;SALOMON HERNANDEZ
Sacatepéquez;Santa María de Jesús;MARIO PEREZ PIO
Sacatepéquez;Santiago Sacatepéquez;HECTOR FRANCISCO SACTIC
Sacatepéquez;Santo Domingo Xenacoj;PASCUAL CHOCOYO
San Marcos;Catarina;JORGE MARIO CASTILLO
San Marcos;Comitancillo;ESTUARDO R. DE LEON MARROQUIN 
San Marcos;El Quetzal;SABINO ALVARADO
San Marcos;El Tumbador;DIANA GALVAN
San Marcos;La Reforma;OCTAVIO CARDONA
San Marcos;San Antonio Sacatepéquez;ROELMER CARDONA
San Marcos;San Cristóbal Cucho;MISAEL FLORENTIN VASQUEZ
San Marcos;San José Ojetenam;AMBROSIO ROBLERO
San Marcos;San Lorenzo;MAXIMILIANO MARROQUIN
San Marcos;San Marcos;GUILLERMO ROBERTO CIFUENTES
San Marcos;San Pedro Sacatepéquez;RONALD CARDONA
San Marcos;San Rafael Pie de La Cuesta;MANUEL ALBERTO RODAS
San Marcos;Sipacapa;RAMIRO BAUTISTA
San Marcos;Tajumulco;ISMAEL GOMEZ
San Marcos;Tejutla;SELVIN ARRIVILLAGA  ALC. ACT.
Santa Rosa;Chiquimulilla;LUIS VILLEGAS
Santa Rosa;Pueblo Nuevo Viñas;ROCAEL YUMAN
Santa Rosa;Taxisco;ANIBAL LANUZA
Sololá;Panajachel;GASPAR ZAPETA
Sololá;San Andrés Semetabaj;JOSE RUFINO CUMEZ COROXON
Sololá;San Antonio Palopó;JORGE PEREZ MARTIN
Sololá;San José Chacayá;MARCELINO ROQUEL GARCIA
Sololá;San Juan La Laguna;BENEDICTO IXTAMER
Sololá;San Lucas Tolimán;ADILIO AMILCAR AZAÑON DE LEON
Sololá;San Marcos La Laguna;EDWIN CUA
Sololá;San Pablo La Laguna;BENJAMIN UJPAN PETZEY
Sololá;San Pedro La Laguna;FRANCISCO GONZALEZ MENDEZ
Sololá;Santa Catarina Palopó;OSCAR MATZER
Sololá;Santa Clara La Laguna;ALBERTO ZAPETA
Sololá;Santa Lucía Utatlán;DOLMO HERIBERTO SULUGUI
Sololá;Santiago Atitlán;JOSE RAMIREZ
Suchitepéquez;Chicacao;MIGUEL NATARENO DE LA CRUZ
Suchitepéquez;Mazatenango;GERMAN CAAL
Suchitepéquez;Patulul;GERMAN RUIZ
Suchitepéquez;Pueblo Nuevo;CELSO GARCIA
Suchitepéquez;Río Bravo;EVER GARCIA
Suchitepéquez;Samayac;JORGE LUIS LOPEZ GOLON
Suchitepéquez;San Bernardino;RONY ANIBAL REYES
Suchitepéquez;San Francisco Zapotitlán;JULIO DE LEON MALDONADO
Suchitepéquez;San Gabriel;CRISTOBAL SALSA
Suchitepéquez;San José El Ídolo;DELMI NERGIDIA PINEDA VELA
Suchitepéquez;San Juan Bautista;RUBIDIA ALELI AVALOS AJU
Suchitepéquez;San Lorenzo;HENRI ESTUARDO AYALA DARDON
Suchitepéquez;San Miguel Panán;GERMAN JUAREZ
Suchitepéquez;San Pablo Jocopilas;LUIS OVALLE
Suchitepéquez;Santo Tomás la Unión;NESTOR RAUL CHACA SALAS
Suchitepéquez;Santo Domingo Suchitepéquez;JORGE ARESTI
Totonicapán;San Andrés Xecul;MARTIN SAQUIC POROJ
Totonicapán;San Bartolo;AMARILDO CHUN CHAMPET
Totonicapán;San Cristóbal Totonicapán;MARCOS FRANCISCO MEJIA SOSA
Totonicapán;San Francisco El Alto;ALEXANDER ALVARADO
Totonicapán;Santa Lucía La Reforma;JUAN ANTONIO LUX
Totonicapán;Santa María Chiquimula;JUAN JUSTO LUX
Zacapa;La Unión;MANRIQUE DUQUE
Zacapa;Zacapa;ALCALDESA ACTUAL
